#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
757,339,347,-1,-1,-15,1940,21558.07422,1,0,2614,11.11240939,8.247159227
758,339,350,-1,-1,1,1712,21075.23047,1,1,2131,12.31029817,9.889831285
759,340,346,-1,-1,1,767,6569.848633,1,1,965,8.565643589,6.808133298
760,340,357,-1,-1,1,1110,15412.48926,1,1,1307,13.88512546,11.79226416
761,340,363,-1,-1,-15,1142,7235.533691,1,0,1489,6.335843863,4.859324172
762,341,362,-1,-1,1,95,300,1,1,200,3.157894737,1.5
763,342,350,-1,-1,1,1552,20413.09961,1,1,1831,13.15277037,11.14860711
764,342,351,-1,-1,1,884,6589.949707,1,1,1265,7.454694239,5.209446409
765,342,356,-1,-1,1,1236,6927.817383,0,1,1424,5.605030245,4.865040297
766,342,364,-1,-1,-15,2456,28350.9668,1,1,3897,11.54355326,7.275074877
767,343,352,-1,-1,-15,3557,49207.92578,1,1,5411,13.83410902,9.094053924
768,343,354,-1,-1,-15,2515,46455.84375,1,1,4045,18.47150845,11.48475742
769,343,358,-1,-1,1,996,2555.63501,1,1,1348,2.565898604,1.895871669
770,343,362,-1,-1,-15,1442,11933.2002,1,1,1831,8.275450898,6.51731305
771,344,345,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
772,344,360,-1,-1,-15,728,1955.634888,1,1,1431,2.686311659,1.366621165
773,344,362,-1,-1,-15,435,741.4213867,1,1,541,1.704416981,1.37046467
774,344,364,-1,-1,-15,1814,7991.168945,1,1,3121,4.405275053,2.56045144
775,345,360,-1,-1,-15,642,1631.37085,1,1,1389,2.54107609,1.174493052
776,345,362,-1,-1,1,133,362.1320496,1,1,241,2.722797365,1.502622612
777,346,357,-1,-1,-15,1309,18691.7793,1,1,1607,14.27943415,11.63147436
778,346,363,-1,-1,1,95,300,1,1,200,3.157894737,1.5
779,347,348,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
780,347,350,-1,-1,-15,141,282.8427124,1,1,282,2.005976684,1.002988342
781,347,361,-1,-1,1,748,5166.294922,1,1,882,6.906811393,5.857477236
782,348,350,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
783,348,361,-1,-1,1,668,5028.427246,1,1,824,7.527585698,6.10246025
784,350,351,-1,-1,-15,1309,17135.5332,1,0,1889,13.09055249,9.071219271
785,350,356,-1,-1,1,1154,16852.69141,1,1,1607,14.60371872,10.48705128
786,350,359,-1,-1,-15,695,5111.27002,1,1,1007,7.354345352,5.075739841
787,350,361,-1,-1,1,547,4769.848633,1,1,765,8.720015782,6.235096252
788,351,353,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
789,351,356,-1,-1,-15,141,282.8427124,1,1,282,2.005976684,1.002988342
790,351,364,-1,-1,1,2023,21678.17383,1,1,2589,10.71585459,8.373184175
791,351,373,-1,-1,1,1326,14501.8291,1,0,1565,10.9365227,9.266344474
792,352,354,-1,-1,1,1064,2776.345703,1,1,1448,2.609347465,1.917365817
793,352,355,-1,-1,1,1229,11331.37109,1,1,1565,9.219992753,7.240492712
794,352,372,-1,-1,1,2385,31477.56445,1,1,3207,13.19814023,9.815267993
795,352,376,-1,-1,1,3414,57649.85156,1,1,3855,16.88630684,14.9545659
796,353,356,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
797,353,364,-1,-1,1,2083,21678.17383,0,1,2589,10.40718859,8.373184175
798,353,373,-1,-1,1,1232,14363.96094,1,1,1507,11.6590592,9.531493655
799,354,358,-1,-1,1,2006,43634.52344,1,1,2472,21.7520057,17.65150624
800,354,372,-1,-1,1,2234,32164.57031,1,1,3189,14.39774857,10.08609919
801,355,357,-1,-1,-11,7099,-1,1,1,-1,-1,-1
802,355,376,-1,-1,1,3151,58503.65625,1,1,3689,18.5666951,15.85894721
803,355,377,-1,-1,-11,7760,-1,1,0,-1,-1,-1
804,355,393,-1,-1,-11,6346,-1,1,1,-1,-1,-1
805,356,359,-1,-1,1,1129,12472.79199,1,1,1365,11.0476457,9.137576551
806,356,365,-1,-1,-15,1665,21239.08789,1,1,2548,12.75620894,8.335591794
807,356,373,-1,-1,1,1175,14246.80371,1,1,1448,12.12493933,9.838952839
808,357,363,-1,-1,1,1124,18052.08203,1,1,1241,16.0605712,14.5463997
809,357,366,-1,-1,1,1698,31086.39648,1,1,2182,18.307654,14.24674449
810,357,377,-1,-1,-15,3240,48033.19922,1,1,4131,14.82506149,11.62749921
811,357,393,-1,-1,-11,6672,-1,0,1,-1,-1,-1
812,358,362,-1,-1,1,2431,13586.50098,1,1,2504,5.588852726,5.42591892
813,358,372,-1,-1,1,2887,33762.94922,1,1,3404,11.69482134,9.918610229
814,358,381,-1,-1,-15,3396,26546.29883,1,1,8301,7.816931339,3.19796396
815,359,361,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
816,359,365,-1,-1,-15,710,8769.848633,1,1,1265,12.35189948,6.932686666
817,359,373,-1,-1,1,1844,26529.64648,1,1,2648,14.38701002,10.01874867
818,360,362,-1,-1,1,125,300,1,1,200,2.4,1.5
819,360,364,-1,-1,1,924,5694.112793,1,1,1348,6.162459733,4.224119283
820,360,371,-1,-1,1,504,7683.452148,1,1,641,15.24494474,11.98666482
821,361,365,-1,-1,1,748,8387.005859,1,1,882,11.21257468,9.509076938
822,361,396,-1,-1,-15,4291,36833.91406,1,0,5269,8.583993023,6.990684013
823,362,371,-1,-1,1,331,7745.584473,1,1,682,23.40055732,11.35716198
824,362,381,-1,-1,-15,1185,8745.583984,1,1,1582,7.380239649,5.528182038
825,363,366,-1,-1,1,1807,20584.16602,1,1,2397,11.3913481,8.587470178
826,363,367,-1,-1,1,3905,16003.04785,0,1,6107,4.098091639,2.620443401
827,363,368,-1,-1,1,1460,12036.75293,1,1,2938,8.244351322,4.09692067
828,363,370,-1,-1,1,2609,13361.01758,1,0,4262,5.12112594,3.134917311
829,364,371,-1,-1,-15,984,10698.27539,1,1,1507,10.87223109,7.099054672
830,364,373,-1,-1,1,1201,11474.62109,1,1,1648,9.554222393,6.962755518
831,364,381,-1,-1,1,562,10156.85449,1,1,1065,18.07269483,9.536952575
832,365,373,-1,-1,1,1753,29350.35742,1,1,2148,16.74293065,13.66403977
833,365,396,-1,-1,1,3044,28005.48633,1,1,3945,9.200225469,7.098982593
834,366,368,-1,-1,1,2395,11961.62695,1,1,2872,4.994416264,4.164911892
835,366,377,-1,-1,1,1584,16946.80469,1,1,1948,10.69874033,8.699591729
836,366,379,-1,-1,-15,3644,27442.13477,0,1,5428,7.530772438,5.055662263
837,366,382,-1,-1,1,2846,31301.93359,1,1,3862,10.99857119,8.105109683
838,367,368,-1,-1,-15,3162,3572.792236,0,1,3472,1.129915318,1.029030022
839,367,370,-1,-1,1,2286,2614.213623,1,1,2514,1.143575513,1.039862221
840,367,408,-1,-1,1,273,7183.452148,1,1,341,26.31301153,21.06584208
841,368,370,-1,-1,1,145,241.4213562,1,1,241,1.66497487,1.001748366
842,368,379,-1,-1,1,1392,14773.40234,1,1,1889,10.6130764,7.820752961
843,368,382,-1,-1,1,2933,32804.87891,1,0,3497,11.18475244,9.380863285
844,370,379,-1,-1,-15,1260,15194.1123,1,1,2231,12.05881929,6.810449263
845,370,391,-1,-1,-15,958,14351.57617,1,1,5262,14.98076845,2.727399501
846,370,408,-1,-1,-15,1848,11322.54004,1,1,3738,6.126915606,3.029036929
847,371,381,-1,-1,1,104,300,1,1,200,2.884615385,1.5
848,372,376,-1,-1,1,1950,28993.60742,1,1,2472,14.86851663,11.72880559
849,372,381,-1,-1,-11,5115,-1,1,1,-1,-1,-1
850,372,403,-1,-1,1,4662,72625.58594,1,1,6221,15.57820376,11.67426233
851,373,381,-1,-1,1,1134,16830.25586,1,1,1548,14.84149547,10.87225831
852,373,396,-1,-1,1,1871,27542.13477,1,1,3155,14.72054237,8.729678214
853,376,393,-1,-1,1,4586,77052.5,1,1,5776,16.80167902,13.34011427
854,376,395,-1,-1,1,4612,77052.5,0,1,5776,16.7069601,13.34011427
855,376,397,-1,-1,-15,4668,77414.63281,1,0,6018,16.58411157,12.86384726
856,376,403,-1,-1,1,4910,85517.67969,1,1,6001,17.41704271,14.25057152
857,376,438,-1,-1,-11,6252,-1,1,1,-1,-1,-1
858,377,382,-1,-1,-15,1754,21063.45508,1,1,3504,12.00881133,6.011260011
859,377,386,-1,-1,1,1019,17600.71484,1,1,1289,17.27253665,13.65454992
860,377,393,-1,-1,-15,3926,39565.28516,1,1,6276,10.07775985,6.30422007
861,377,401,-1,-1,1,4094,38216.75781,1,0,5169,9.334821156,7.393452856
862,379,382,-1,-1,1,2179,27069.95313,1,1,2755,12.42310836,9.82575431
863,379,391,-1,-1,1,239,7183.452148,1,1,341,30.05628514,21.06584208
864,379,400,-1,-1,1,2247,28152.79492,1,1,3297,12.52905871,8.538912624
